county,precinct,office,district,party,candidate,vote
Box Elder,HOWL,Democratic for U.S. House 1,1,DEM,DARREN PARRY,1
Box Elder,HOWL,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,1
Box Elder,HOWL,Republican for U.S. House 1,1,REP,KATIE WITT,16
Box Elder,HOWL,Republican for U.S. House 1,1,REP,BOB STEVENSON,9
Box Elder,HOWL,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,21
Box Elder,HOWL,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,25
Box Elder,HOWL,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",17
Box Elder,HOWL,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",20
Box Elder,HOWL,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",23
Box Elder,HOWL,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",15
Box Elder,HOWL,Republican for Attorney General,,REP,SEAN D. REYES,35
Box Elder,HOWL,Republican for Attorney General,,REP,DAVID O. LEAVITT,38
Box Elder,HOWL,Republican for Commissioner Seat C,,REP,KRIS UDY,40
Box Elder,HOWL,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,4
Box Elder,HOWL,Republican for Commissioner Seat C,,REP,STAN SUMMERS,28
Box Elder,HOWL,Republican for Commissioner Seat C,,REP,ALDEN FARR,3
Box Elder,MANT,REGISTERED VOTERS TOTAL,,,VOTERS,462
Box Elder,MANT,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,433
Box Elder,MANT,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,29
Box Elder,MANT,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,MANT,BALLOTS CAST TOTAL,,,BALLOTS CAST,340
Box Elder,MANT,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,321
Box Elder,MANT,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,19
Box Elder,MANT,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,MANT,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,MANT,Democratic for U.S. House 1,1,DEM,DARREN PARRY,5
Box Elder,MANT,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,14
Box Elder,MANT,Republican for U.S. House 1,1,REP,KATIE WITT,54
Box Elder,MANT,Republican for U.S. House 1,1,REP,BOB STEVENSON,73
Box Elder,MANT,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,82
Box Elder,MANT,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,89
Box Elder,MANT,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",71
Box Elder,MANT,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",95
Box Elder,MANT,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",82
Box Elder,MANT,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",71
Box Elder,MANT,Republican for Attorney General,,REP,SEAN D. REYES,185
Box Elder,MANT,Republican for Attorney General,,REP,DAVID O. LEAVITT,125
Box Elder,MANT,Republican for Commissioner Seat C,,REP,KRIS UDY,105
Box Elder,MANT,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,56
Box Elder,MANT,Republican for Commissioner Seat C,,REP,STAN SUMMERS,84
Box Elder,MANT,Republican for Commissioner Seat C,,REP,ALDEN FARR,59
Box Elder,PARK,REGISTERED VOTERS TOTAL,,,VOTERS,102
Box Elder,PARK,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,102
Box Elder,PARK,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,0
Box Elder,PARK,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,PARK,BALLOTS CAST TOTAL,,,BALLOTS CAST,78
Box Elder,PARK,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,78
Box Elder,PARK,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,0
Box Elder,PARK,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,PARK,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,PARK,Democratic for U.S. House 1,1,DEM,DARREN PARRY,0
Box Elder,PARK,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,0
Box Elder,PARK,Republican for U.S. House 1,1,REP,KATIE WITT,7
Box Elder,PARK,Republican for U.S. House 1,1,REP,BOB STEVENSON,7
Box Elder,PARK,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,22
Box Elder,PARK,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,41
Box Elder,PARK,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",3
Box Elder,PARK,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",51
Box Elder,PARK,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",9
Box Elder,PARK,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",15
Box Elder,PARK,Republican for Attorney General,,REP,SEAN D. REYES,52
Box Elder,PARK,Republican for Attorney General,,REP,DAVID O. LEAVITT,24
Box Elder,PARK,Republican for Commissioner Seat C,,REP,KRIS UDY,13
Box Elder,PARK,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,9
Box Elder,PARK,Republican for Commissioner Seat C,,REP,STAN SUMMERS,46
Box Elder,PARK,Republican for Commissioner Seat C,,REP,ALDEN FARR,10
Box Elder,PER1,REGISTERED VOTERS TOTAL,,,VOTERS,567
Box Elder,PER1,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,541
Box Elder,PER1,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,26
Box Elder,PER1,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,PER1,BALLOTS CAST TOTAL,,,BALLOTS CAST,423
Box Elder,PER1,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,403
Box Elder,PER1,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,20
Box Elder,PER1,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,PER1,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,PER1,Democratic for U.S. House 1,1,DEM,DARREN PARRY,11
Box Elder,PER1,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,9
Box Elder,PER1,Republican for U.S. House 1,1,REP,KATIE WITT,41
Box Elder,PER1,Republican for U.S. House 1,1,REP,BOB STEVENSON,129
Box Elder,PER1,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,125
Box Elder,PER1,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,96
Box Elder,PER1,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",55
Box Elder,PER1,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",151
Box Elder,PER1,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",137
Box Elder,PER1,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",60
Box Elder,PER1,Republican for Attorney General,,REP,SEAN D. REYES,227
Box Elder,PER1,Republican for Attorney General,,REP,DAVID O. LEAVITT,168
Box Elder,PER1,Republican for Commissioner Seat C,,REP,KRIS UDY,69
Box Elder,PER1,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,77
Box Elder,PER1,Republican for Commissioner Seat C,,REP,STAN SUMMERS,186
Box Elder,PER1,Republican for Commissioner Seat C,,REP,ALDEN FARR,60
Box Elder,PER2,REGISTERED VOTERS TOTAL,,,VOTERS,332
Box Elder,PER2,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,315
Box Elder,PER2,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,17
Box Elder,PER2,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,PER2,BALLOTS CAST TOTAL,,,BALLOTS CAST,251
Box Elder,PER2,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,238
Box Elder,PER2,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,13
Box Elder,PER2,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,PER2,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,PER2,Democratic for U.S. House 1,1,DEM,DARREN PARRY,6
Box Elder,PER2,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,7
Box Elder,PER2,Republican for U.S. House 1,1,REP,KATIE WITT,42
Box Elder,PER2,Republican for U.S. House 1,1,REP,BOB STEVENSON,74
Box Elder,PER2,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,62
Box Elder,PER2,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,52
Box Elder,PER2,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",63
Box Elder,PER2,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",59
Box Elder,PER2,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",74
Box Elder,PER2,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",42
Box Elder,PER2,Republican for Attorney General,,REP,SEAN D. REYES,152
Box Elder,PER2,Republican for Attorney General,,REP,DAVID O. LEAVITT,80
Box Elder,PER2,Republican for Commissioner Seat C,,REP,KRIS UDY,50
Box Elder,PER2,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,59
Box Elder,PER2,Republican for Commissioner Seat C,,REP,STAN SUMMERS,93
Box Elder,PER2,Republican for Commissioner Seat C,,REP,ALDEN FARR,31
Box Elder,PER3,REGISTERED VOTERS TOTAL,,,VOTERS,570
Box Elder,PER3,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,546
Box Elder,PER3,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,24
Box Elder,PER3,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,PER3,BALLOTS CAST TOTAL,,,BALLOTS CAST,420
Box Elder,PER3,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,395
Box Elder,PER3,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,25
Box Elder,PER3,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,PER3,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,PER3,Democratic for U.S. House 1,1,DEM,DARREN PARRY,14
Box Elder,PER3,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,11
Box Elder,PER3,Republican for U.S. House 1,1,REP,KATIE WITT,51
Box Elder,PER3,Republican for U.S. House 1,1,REP,BOB STEVENSON,123
Box Elder,PER3,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,135
Box Elder,PER3,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,77
Box Elder,PER3,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",76
Box Elder,PER3,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",163
Box Elder,PER3,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",94
Box Elder,PER3,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",61
Box Elder,PER3,Republican for Attorney General,,REP,SEAN D. REYES,206
Box Elder,PER3,Republican for Attorney General,,REP,DAVID O. LEAVITT,182
Box Elder,PER3,Republican for Commissioner Seat C,,REP,KRIS UDY,85
Box Elder,PER3,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,94
Box Elder,PER3,Republican for Commissioner Seat C,,REP,STAN SUMMERS,161
Box Elder,PER3,Republican for Commissioner Seat C,,REP,ALDEN FARR,50
Box Elder,PER4,REGISTERED VOTERS TOTAL,,,VOTERS,535
Box Elder,PER4,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,500
Box Elder,PER4,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,35
Box Elder,PER4,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,PER4,BALLOTS CAST TOTAL,,,BALLOTS CAST,364
Box Elder,PER4,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,336
Box Elder,PER4,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,28
Box Elder,PER4,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,PER4,BALLOTS CAST BLANK,,,BALLOTS CAST,1
Box Elder,PER4,Democratic for U.S. House 1,1,DEM,DARREN PARRY,18
Box Elder,PER4,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,9
Box Elder,PER4,Republican for U.S. House 1,1,REP,KATIE WITT,68
Box Elder,PER4,Republican for U.S. House 1,1,REP,BOB STEVENSON,70
Box Elder,PER4,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,124
Box Elder,PER4,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,70
Box Elder,PER4,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",67
Box Elder,PER4,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",114
Box Elder,PER4,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",99
Box Elder,PER4,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",56
Box Elder,PER4,Republican for Attorney General,,REP,SEAN D. REYES,191
Box Elder,PER4,Republican for Attorney General,,REP,DAVID O. LEAVITT,144
Box Elder,PER4,Republican for Commissioner Seat C,,REP,KRIS UDY,97
Box Elder,PER4,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,116
Box Elder,PER4,Republican for Commissioner Seat C,,REP,STAN SUMMERS,91
Box Elder,PER4,Republican for Commissioner Seat C,,REP,ALDEN FARR,30
Box Elder,PLYM,REGISTERED VOTERS TOTAL,,,VOTERS,189
Box Elder,PLYM,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,176
Box Elder,PLYM,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,13
Box Elder,PLYM,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,PLYM,BALLOTS CAST TOTAL,,,BALLOTS CAST,131
Box Elder,PLYM,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,122
Box Elder,PLYM,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,9
Box Elder,PLYM,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,PLYM,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,PLYM,Democratic for U.S. House 1,1,DEM,DARREN PARRY,3
Box Elder,PLYM,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,6
Box Elder,PLYM,Republican for U.S. House 1,1,REP,KATIE WITT,27
Box Elder,PLYM,Republican for U.S. House 1,1,REP,BOB STEVENSON,29
Box Elder,PLYM,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,30
Box Elder,PLYM,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,33
Box Elder,PLYM,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",13
Box Elder,PLYM,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",49
Box Elder,PLYM,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",36
Box Elder,PLYM,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",24
Box Elder,PLYM,Republican for Attorney General,,REP,SEAN D. REYES,62
Box Elder,PLYM,Republican for Attorney General,,REP,DAVID O. LEAVITT,55
Box Elder,PLYM,Republican for Commissioner Seat C,,REP,KRIS UDY,58
Box Elder,PLYM,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,13
Box Elder,PLYM,Republican for Commissioner Seat C,,REP,STAN SUMMERS,43
Box Elder,PLYM,Republican for Commissioner Seat C,,REP,ALDEN FARR,8
Box Elder,BC04,REGISTERED VOTERS TOTAL,,,VOTERS,345
Box Elder,BC04,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,297
Box Elder,BC04,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,48
Box Elder,BC04,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC04,BALLOTS CAST TOTAL,,,BALLOTS CAST,230
Box Elder,BC04,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,200
Box Elder,BC04,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,30
Box Elder,BC04,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC04,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC04,Democratic for U.S. House 1,1,DEM,DARREN PARRY,16
Box Elder,BC04,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,14
Box Elder,BC04,Republican for U.S. House 1,1,REP,KATIE WITT,41
Box Elder,BC04,Republican for U.S. House 1,1,REP,BOB STEVENSON,41
Box Elder,BC04,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,52
Box Elder,BC04,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,56
Box Elder,BC04,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",47
Box Elder,BC04,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",54
Box Elder,BC04,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",56
Box Elder,BC04,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",43
Box Elder,BC04,Republican for Attorney General,,REP,SEAN D. REYES,121
Box Elder,BC04,Republican for Attorney General,,REP,DAVID O. LEAVITT,74
Box Elder,BC04,Republican for Commissioner Seat C,,REP,KRIS UDY,57
Box Elder,BC04,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,26
Box Elder,BC04,Republican for Commissioner Seat C,,REP,STAN SUMMERS,88
Box Elder,BC04,Republican for Commissioner Seat C,,REP,ALDEN FARR,21
Box Elder,PORT,REGISTERED VOTERS TOTAL,,,VOTERS,112
Box Elder,PORT,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,103
Box Elder,PORT,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,9
Box Elder,PORT,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,PORT,BALLOTS CAST TOTAL,,,BALLOTS CAST,74
Box Elder,PORT,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,68
Box Elder,PORT,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,6
Box Elder,PORT,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,PORT,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,PORT,Democratic for U.S. House 1,1,DEM,DARREN PARRY,2
Box Elder,PORT,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,4
Box Elder,PORT,Republican for U.S. House 1,1,REP,KATIE WITT,14
Box Elder,PORT,Republican for U.S. House 1,1,REP,BOB STEVENSON,17
Box Elder,PORT,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,21
Box Elder,PORT,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,14
Box Elder,PORT,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",4
Box Elder,PORT,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",12
Box Elder,PORT,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",29
Box Elder,PORT,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",23
Box Elder,PORT,Republican for Attorney General,,REP,SEAN D. REYES,28
Box Elder,PORT,Republican for Attorney General,,REP,DAVID O. LEAVITT,39
Box Elder,PORT,Republican for Commissioner Seat C,,REP,KRIS UDY,21
Box Elder,PORT,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,8
Box Elder,PORT,Republican for Commissioner Seat C,,REP,STAN SUMMERS,32
Box Elder,PORT,Republican for Commissioner Seat C,,REP,ALDEN FARR,4
Box Elder,PROM,REGISTERED VOTERS TOTAL,,,VOTERS,19
Box Elder,PROM,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,18
Box Elder,PROM,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,1
Box Elder,PROM,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,PROM,BALLOTS CAST TOTAL,,,BALLOTS CAST,16
Box Elder,PROM,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,16
Box Elder,PROM,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,0
Box Elder,PROM,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,PROM,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,PROM,Democratic for U.S. House 1,1,DEM,DARREN PARRY,0
Box Elder,PROM,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,0
Box Elder,PROM,Republican for U.S. House 1,1,REP,KATIE WITT,3
Box Elder,PROM,Republican for U.S. House 1,1,REP,BOB STEVENSON,2
Box Elder,PROM,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,1
Box Elder,PROM,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,9
Box Elder,PROM,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",4
Box Elder,PROM,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",4
Box Elder,PROM,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",2
Box Elder,PROM,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",6
Box Elder,PROM,Republican for Attorney General,,REP,SEAN D. REYES,8
Box Elder,PROM,Republican for Attorney General,,REP,DAVID O. LEAVITT,8
Box Elder,PROM,Republican for Commissioner Seat C,,REP,KRIS UDY,15
Box Elder,PROM,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,0
Box Elder,PROM,Republican for Commissioner Seat C,,REP,STAN SUMMERS,0
Box Elder,PROM,Republican for Commissioner Seat C,,REP,ALDEN FARR,1
Box Elder,RIV,REGISTERED VOTERS TOTAL,,,VOTERS,269
Box Elder,RIV,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,253
Box Elder,RIV,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,16
Box Elder,RIV,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,RIV,BALLOTS CAST TOTAL,,,BALLOTS CAST,201
Box Elder,RIV,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,191
Box Elder,RIV,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,10
Box Elder,RIV,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,RIV,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,RIV,Democratic for U.S. House 1,1,DEM,DARREN PARRY,5
Box Elder,RIV,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,5
Box Elder,RIV,Republican for U.S. House 1,1,REP,KATIE WITT,33
Box Elder,RIV,Republican for U.S. House 1,1,REP,BOB STEVENSON,42
Box Elder,RIV,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,41
Box Elder,RIV,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,69
Box Elder,RIV,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",28
Box Elder,RIV,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",70
Box Elder,RIV,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",42
Box Elder,RIV,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",49
Box Elder,RIV,Republican for Attorney General,,REP,SEAN D. REYES,122
Box Elder,RIV,Republican for Attorney General,,REP,DAVID O. LEAVITT,66
Box Elder,RIV,Republican for Commissioner Seat C,,REP,KRIS UDY,78
Box Elder,RIV,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,14
Box Elder,RIV,Republican for Commissioner Seat C,,REP,STAN SUMMERS,82
Box Elder,RIV,Republican for Commissioner Seat C,,REP,ALDEN FARR,15
Box Elder,SNOW,REGISTERED VOTERS TOTAL,,,VOTERS,79
Box Elder,SNOW,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,78
Box Elder,SNOW,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,1
Box Elder,SNOW,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,SNOW,BALLOTS CAST TOTAL,,,BALLOTS CAST,55
Box Elder,SNOW,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,54
Box Elder,SNOW,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,1
Box Elder,SNOW,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,SNOW,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,SNOW,Democratic for U.S. House 1,1,DEM,DARREN PARRY,0
Box Elder,SNOW,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,1
Box Elder,SNOW,Republican for U.S. House 1,1,REP,KATIE WITT,5
Box Elder,SNOW,Republican for U.S. House 1,1,REP,BOB STEVENSON,9
Box Elder,SNOW,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,13
Box Elder,SNOW,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,23
Box Elder,SNOW,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",7
Box Elder,SNOW,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",24
Box Elder,SNOW,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",9
Box Elder,SNOW,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",14
Box Elder,SNOW,Republican for Attorney General,,REP,SEAN D. REYES,29
Box Elder,SNOW,Republican for Attorney General,,REP,DAVID O. LEAVITT,22
Box Elder,SNOW,Republican for Commissioner Seat C,,REP,KRIS UDY,12
Box Elder,SNOW,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,0
Box Elder,SNOW,Republican for Commissioner Seat C,,REP,STAN SUMMERS,39
Box Elder,SNOW,Republican for Commissioner Seat C,,REP,ALDEN FARR,2
Box Elder,SWIL,REGISTERED VOTERS TOTAL,,,VOTERS,641
Box Elder,SWIL,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,580
